ID,Mobility and transportation,Imagery and GIS,Climate and environment,History and epistemology,Sustainability risk planning,Economic geography,Development territory system of cities,Urban dynamics,Statistics and modeling,Emotional geography
18342,0,0.1428571429,0,0,0,0,0.7142857143,0,0,0.1428571429
18592,0.25,0.25,0,0,0,0.25,0,0.25,0,0
18862,0.2,0,0.4,0.2,0,0.2,0,0,0,0
18852,0,0.1428571429,0,0,0.8571428571,0,0,0,0,0
19323,0,0.1428571429,0.1428571429,0,0.5714285714,0,0.1428571429,0,0,0
19063,0,0,0,0.5,0,0,0.5,0,0,0
19123,0,1,0,0,0,0,0,0,0,0
19683,0,0.2,0,0,0,0.1,0,0.6,0.1,0
19853,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0
20763,0,0.3333333333,0,0,0.3333333333,0,0,0.3333333333,0,0
20343,0,0.1666666667,0,0,0.1666666667,0,0,0,0.6666666667,0
20883,0,0,0,0.25,0,0,0.5,0,0.25,0
21123,0,0.8,0,0,0,0,0,0,0.2,0
21333,0.1428571429,0.1428571429,0,0,0.4285714286,0,0.1428571429,0,0.1428571429,0
21743,0.8,0,0,0,0,0.2,0,0,0,0
21987,0,0,0,0.4,0.6,0,0,0,0,0
21995,0,1,0,0,0,0,0,0,0,0
22013,0,0,0.6666666667,0,0,0,0,0,0.3333333333,0
22022,0,0.1428571429,0,0,0.5714285714,0,0.1428571429,0.1428571429,0,0
22043,0,0.1111111111,0,0.7777777778,0,0,0.1111111111,0,0,0
22057,0,0,1,0,0,0,0,0,0,0
22090,0.4,0.2,0,0,0,0,0.2,0.2,0,0
22065,0,0,0.3333333333,0.1111111111,0.4444444444,0,0.1111111111,0,0,0
22101,0.5714285714,0,0,0,0.4285714286,0,0,0,0,0
22123,0,0,0,0,0.2,0,0.2,0.4,0.2,0
22151,0,0,0,0.1666666667,0.3333333333,0,0.1666666667,0.3333333333,0,0
22165,0,0,0,0,0,0,0.6666666667,0,0,0.3333333333
22420,0,0.75,0,0,0,0,0.25,0,0,0
22275,0,0,0,1,0,0,0,0,0,0
22192,0,0,0,0,0,0.5,0,0.25,0.25,0
22221,0.2,0,0,0,0.2,0,0,0,0.6,0
22200,0,0,0,0.25,0,0,0,0.25,0.5,0
22214,0,0,0,1,0,0,0,0,0,0
22229,0,0,0,0.25,0,0,0,0.25,0.5,0
22232,0,0,0,0.1111111111,0.2222222222,0,0.5555555556,0.1111111111,0,0
22260,0,0.1428571429,0,0,0,0,0.5714285714,0.1428571429,0.1428571429,0
22270,0,0,0.3333333333,0,0,0,0,0.6666666667,0,0
