""	"0"	"0"
"12453143329844175645"	"2"	"2"
"1926076497446148057"	"4"	"23"
"9426045279417949835"	"0"	"17"
"7557464062512441007"	"0"	"25"
"11967300416017162112"	"11"	"14"
"6103178416482945666"	"0"	"5"
"12061457621587351741"	"3"	"13"
"7974153381428218207"	"1"	"0"
"12181622537683467276"	"0"	"0"
"2446261907450217606"	"2"	"0"
"9616370006505044944"	"1"	"12"
"3320608927952162669"	"0"	"0"
"15699267406320073529"	"0"	"0"
"17378408808092404839"	"0"	"11"
"5738344954634745626"	"17"	"10"
"11877558273471361661"	"0"	"6"
"840139259079324135"	"0"	"0"
"17004386235020215772"	"3"	"0"
"8515987483257305370"	"0"	"0"
"9974276458981970637"	"2"	"0"
"7496302056405799736"	"3"	"6"
"15749400924983258514"	"0"	"8"
"3851683408341708161"	"0"	"0"
"9777460997876776955"	"0"	"0"
"7506300372407508853"	"0"	"0"
"4365871987204295027"	"1"	"12"
"9766225282383706085"	"21"	"25"
"13514660213280886463"	"4"	"10"
"2051867956673341842"	"0"	"12"
"16689892673366615122"	"1"	"12"
"10648402730705549299"	"0"	"1"
"5636172743088344726"	"2"	"10"
"16237111473358271219"	"7"	"9"
"13588517725559598487"	"0"	"0"
"14758992922153632481"	"0"	"6"
"9225682399054850025"	"0"	"0"
"13579609314752798883"	"2"	"16"
"11502791774186187980"	"2"	"19"
"5923334823415498276"	"1"	"8"
"11088495948888412925"	"0"	"0"
"7192936767021599671"	"0"	"0"
"10899040762277524354"	"11"	"3"
"6234820382258758854"	"0"	"1"
"11292404257853517207"	"0"	"0"
"15196164795908645754"	"1"	"0"
"16496572292154496094"	"0"	"23"
"18324282830790877604"	"2"	"6"
"2222991629650254180"	"0"	"18"
"13283606926996175471"	"0"	"0"
"17183649609607198230"	"0"	"5"
"12463448983821476271"	"6"	"17"
"1938260013292616199"	"0"	"0"
"11116788812234160513"	"2"	"0"
"17681570550838716681"	"5"	"6"
"12782502286795001198"	"2"	"0"
"2438919852332954408"	"0"	"10"
"7593174952128689392"	"1"	"7"
"8187495921762826207"	"4"	"3"
"7981732704512761017"	"0"	"0"
"13973992772174842049"	"0"	"0"
"3779852770085058080"	"0"	"4"
"1916496183712539496"	"1"	"0"
"10684179809377626655"	"0"	"0"
"9393709732402438322"	"0"	"34"
"10013142177137674789"	"0"	"14"
"15123552256290319445"	"11"	"9"
"500708240630347372"	"0"	"0"
"12177113020129791020"	"0"	"0"
"5020541489333134258"	"1"	"15"
"16356186711231100518"	"0"	"0"
"11419974393909109225"	"1"	"31"
"5276421141236058783"	"36"	"0"
"17941305049400049936"	"4"	"12"
"13223708234762758261"	"0"	"5"
"13600790356767114316"	"1"	"0"
"5964802624294796908"	"7"	"3"
"2309695677150489632"	"1"	"24"
"12729868724034378514"	"0"	"2"
"784825641918111671"	"24"	"0"
"8250701945158690257"	"5"	"7"
"17361683415379800043"	"1"	"0"
"2239577453577548099"	"9"	"11"
"16639670951060117326"	"8"	"15"
"6870832673396774473"	"5"	"6"
"9412616167372044279"	"1"	"1"
"6096114211561939571"	"7"	"18"
"7175751770730770172"	"0"	"0"
"12075273365978254220"	"3"	"1"
"2757512955823220391"	"0"	"13"
"726663096495224232"	"10"	"1"
"6022412008866865276"	"2"	"0"
"11030666806762008718"	"0"	"0"
"3788821887140970232"	"14"	"24"
"12037465744796310563"	"4"	"5"
"9573410237626315343"	"0"	"0"
"1338875173441313924"	"0"	"0"
"3592553216232078080"	"2"	"26"
"921096113408197273"	"2"	"9"
"18165678207189111748"	"0"	"0"
"18388697423494975816"	"0"	"0"
"9002525158599803143"	"1"	"0"
"17315586247426081437"	"0"	"0"
"694851167295807891"	"0"	"0"
"14695141168506686219"	"1"	"0"
"5559255212717815832"	"2"	"31"
"393984154984621473"	"0"	"0"
"16552005772206632584"	"9"	"0"
"13805417772736369116"	"7"	"4"
"8458514563137936438"	"12"	"5"
"1278739482361996123"	"1"	"13"
"11751419171971115834"	"0"	"15"
"2985785882043568778"	"0"	"0"
"4202760219581665753"	"3"	"1"
"5945312312975201648"	"10"	"6"
"15799196584630148869"	"0"	"5"
"12087860346099144998"	"110"	"15"
"12827769133103007003"	"0"	"0"
"1951334589232400018"	"0"	"1"
"12855282424430779659"	"0"	"3"
"2313414304570711287"	"0"	"1"
"4866148860437950343"	"9"	"0"
"17343477342202680578"	"13"	"14"
"7487488638468742393"	"0"	"5"
"3909970800908713465"	"3"	"4"
"17113419753811411304"	"0"	"0"
"3543726411124797958"	"0"	"14"
"13779990891468529539"	"0"	"0"
"4933662103981995525"	"0"	"0"
"1501083229293056955"	"4"	"22"
"4690251746164487263"	"0"	"0"
"14611923125579228084"	"1"	"14"
"4521167975068893234"	"7"	"18"
"427110688238162735"	"0"	"0"
"15193481822616101012"	"11"	"9"
"3902617747571492826"	"0"	"2"
"7820654797362893989"	"1"	"32"
"826979822568237013"	"0"	"0"
"18029957659138074413"	"0"	"5"
"6971998660716788871"	"2"	"59"
"7976888532897584518"	"0"	"17"
"707506829189541681"	"0"	"5"
"11999781043046622935"	"0"	"0"
"5978505324400362173"	"8"	"2"
"13856885479411563090"	"5"	"2"
